
NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.49

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.49

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.47

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.49

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.47

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.47

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.47

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.47

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.49

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.47

NFLX  12/12/2023  | Open, High, Low, Close=  461.97, 462.02, 461.89, 461.99

C  12/12/2023  | Open, High, Low, Close=  47.91, 47.94, 47.90, 47.94

A  12/12/2023  | Open, High, Low, Close=  128.83, 128.86, 128.72, 128.72

M  12/12/2023  | Open, High, Low, Close=  19.32, 19.34, 19.31, 19.34

K  12/12/2023  | Open, High, Low, Close=  54.15, 54.18, 54.14, 54.18

T  12/12/2023  | Open, High, Low, Close=  16.38, 16.39, 16.37, 16.39

T  12/12/2023  | Open, High, Low, Close=  16.38, 16.39, 16.37, 16.39

T  12/12/2023  | Open, High, Low, Close=  16.38, 16.39, 16.37, 16.39

T  12/12/2023  | Open, High, Low, Close=  16.38, 16.39, 16.37, 16.39

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 146.99

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 146.99

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 146.99

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 146.99

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 146.99

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 146.99

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 146.99

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 146.99

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 147.00

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 147.00

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 147.01

AMZN  12/12/2023  | Open, High, Low, Close=  146.98, 147.01, 146.96, 147.00
