tradeDate,tradeTime,tradeType,tradeSize,symbol,tradeCond,tradePrice,rawtradeId,tradeCnt,tradeAboveBelow,tradePivot,priceDist,pricePct,tradeStrong,tradeLeg,timestamp,tradeRecTimestamp,tradeDateTime,tradeDay,tradeBar,userId,accountId,tradeRAW,tradeRawId,tradeSize1,tradePrFilled,tradeDur,tradeStopMke,tradeLimitExit,optionStrategy,daySRs,wkSRs,moSRs,tradeSpec,tradeSig,tradeGapPct,tradeStatus,tradeAux1,tradeAux2,tradeHash
2024-02-06,1430,buyToOpen_PUT_,1,ROKU,atLimit,92.8,1871,95,STRIKE,R1,2.86,3.0843%,1,110|105|75|70,2024-02-07T054548,tstampRec_2024-02-06T19_15_12,2024-02-06T143000,tue,15min,Creator,12345354911,raw59,0,100,0,day,55.68,232,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1430,SELL,10,QQQ,atLimit,426.57,1872,6,below,R1,-3.79,-0.8895%,0,510|490|360|340,2024-02-07T054548,tstampRec_2024-02-06T19_15_12,2024-02-06T143000,tue,15min,Creator,12345354911,raw60,0,100,0,day,255.942,1066.43,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1415,SELL,10,ADBE,atLimit,609.39,1868,4,below,R1,-25.81,-4.2346%,0,730|700|515|485,2024-02-07T054548,tstampRec_2024-02-06T19_00_21,2024-02-06T141500,tue,15min,Creator,12345354911,raw56,0,100,0,day,365.634,1523.47,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1345,SELL,10,TSLA,atLimit,182.93,1867,4,below,R1,-2.54,-1.3891%,0,215|210|155|145,2024-02-07T054548,tstampRec_2024-02-06T18_30_07,2024-02-06T134500,tue,15min,Creator,12345354911,raw55,0,100,0,day,109.758,457.325,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1330,SELL,10,M,atLimit,18.67,1866,7,above,R1,0.12,0.6308%,1,20|20|15|10,2024-02-07T054548,tstampRec_2024-02-06T18_15_29,2024-02-06T133000,tue,15min,Creator,12345354911,raw54,0,100,0,day,11.202,46.675,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1315,BUY,10,ADBE,atLimit,607.62,1865,13,below,S1,-17.53,-2.8850%,1,725|695|515|485,2024-02-07T054548,tstampRec_2024-02-06T18_00_15,2024-02-06T131500,tue,15min,Creator,12345354911,raw53,0,100,0,day,364.572,1519.05,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1300,SELL,10,AAPL,atLimit,188.81,1860,6,below,R1,-0.52,-0.2772%,0,225|215|160|150,2024-02-07T054548,tstampRec_2024-02-06T17_45_01,2024-02-06T130000,tue,15min,Creator,12345354911,raw48,0,100,0,day,113.286,472.025,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1300,BUY,10,NVDA,atLimit,669.16,1861,7,below,S1,-9.36,-1.3993%,1,800|765|565|535,2024-02-07T054548,tstampRec_2024-02-06T17_45_14,2024-02-06T130000,tue,15min,Creator,12345354911,raw49,0,100,0,day,401.496,1672.9,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1300,BUY,10,AMD,atLimit,166.78,1862,6,below,S1,-3.44,-2.0606%,1,200|190|140|130,2024-02-07T054548,tstampRec_2024-02-06T17_45_14,2024-02-06T130000,tue,15min,Creator,12345354911,raw50,0,100,0,day,100.068,416.95,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1300,buyToOpen_CALL_,4,AMD,atLimit,166.78,1862,165,STRIKE,S1,-3.44,-2.0606%,1,200|190|140|130,2024-02-07T054548,tstampRec_2024-02-06T17_45_14,2024-02-06T130000,tue,15min,Creator,12345354911,raw50,0,100,0,day,100.068,416.95,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
