
2023-12-05,1130,tue,intraday,sell,100,AMZN,atLimit,147.72,P3day,sellsigcnt,9,15min,R3R2R1_P_P3_S1S2S3=,147.95,146.93,145.90,144.36,146.33,143.33,141.79,140.76,p3-R1=,1.82,
2023-12-05,1330,tue,intraday,buy,100,AMZN,atLimit,146.27,Pday,buysigcnt,8,15min,R3R2R1_P_P3_S1S2S3=,147.95,146.93,145.90,144.36,146.33,143.33,141.79,140.76,p-S1=,2.94,
2023-12-05,1500,tue,intraday,sell,100,AMZN,atLimit,146.88,P3day,sellsigcnt,6,15min,R3R2R1_P_P3_S1S2S3=,147.95,146.93,145.90,144.36,146.33,143.33,141.79,140.76,p3-R1=,0.98,
2023-12-06,1115,wed,intraday,buy,100,AMZN,atLimit,146.01,Pday,buysigcnt,7,15min,R3R2R1_P_P3_S1S2S3=,154.01,151.65,149.29,146.21,145.58,143.85,140.77,138.41,p-S1=,2.16,
2023-12-07,1130,thu,intraday,sell,100,AMZN,atLimit,146.81,P3day,sellsigcnt,6,15min,R3R2R1_P_P3_S1S2S3=,151.42,149.12,146.82,145.55,145.72,143.25,141.98,139.68,p3-R1=,-0.01,
2023-12-07,1345,thu,intraday,sell,100,AMZN,atLimit,147.56,P3day,sellsigcnt,7,15min,R3R2R1_P_P3_S1S2S3=,151.42,149.12,146.82,145.55,145.72,143.25,141.98,139.68,p3-R1=,0.74,
2023-12-07,1545,thu,intraday,buy,100,AMZN,atLimit,146.73,Pday,buysigcnt,8,15min,R3R2R1_P_P3_S1S2S3=,151.42,149.12,146.82,145.55,145.72,143.25,141.98,139.68,p-S1=,3.48,
2023-12-08,1545,fri,intraday,sell,100,AMZN,atLimit,147.67,P3day,sellsigcnt,13,15min,R3R2R1_P_P3_S1S2S3=,150.50,149.29,148.08,146.71,145.37,145.50,144.13,142.92,p3-R1=,-0.41,
2023-12-11,1115,mon,intraday,buy,100,AMZN,atLimit,144.81,Pday,buysigcnt,8,15min,R3R2R1_P_P3_S1S2S3=,150.28,149.32,148.37,146.88,146.16,145.93,144.44,143.49,p-S1=,-1.12,
2023-12-11,1600,mon,intraday,buy,100,AMZN,atLimit,145.53,Pday,buysigcnt,6,15min,R3R2R1_P_P3_S1S2S3=,150.28,149.32,148.37,146.88,146.16,145.93,144.44,143.49,p-S1=,-0.40,
2023-12-13,1045,wed,intraday,sell,100,AMZN,atLimit,148.15,P3day,sellsigcnt,23,15min,R3R2R1_P_P3_S1S2S3=,149.70,148.94,148.19,146.74,146.28,145.99,144.54,143.79,p3-R1=,-0.04,
2023-11-30,1245,thu,intraday,buy,100,AMD,atLimit,120.31,Pday,buysigcnt,19,15min,R3R2R1_P_P3_S1S2S3=,127.92,126.56,125.19,124.34,-1.00,122.97,122.12,120.75,p-S1=,-2.66,
2023-12-01,1330,fri,intraday,sell,100,AMD,atLimit,120.92,P3day,sellsigcnt,9,15min,R3R2R1_P_P3_S1S2S3=,128.45,126.03,123.62,121.63,40.78,119.22,117.23,114.82,p3-R1=,-2.70,
2023-12-04,1145,mon,intraday,buy,100,AMD,atLimit,117.12,Pday,buysigcnt,7,15min,R3R2R1_P_P3_S1S2S3=,124.15,123.22,122.30,120.47,81.66,119.55,117.72,116.80,p-S1=,-2.43,
2023-12-04,1330,mon,intraday,sell,100,AMD,atLimit,118.81,P3day,sellsigcnt,7,15min,R3R2R1_P_P3_S1S2S3=,124.15,123.22,122.30,120.47,81.66,119.55,117.72,116.80,p3-R1=,-3.48,
2023-12-05,1500,tue,intraday,sell,100,AMD,atLimit,118.17,P3day,sellsigcnt,10,15min,R3R2R1_P_P3_S1S2S3=,123.43,121.82,120.21,118.29,122.15,116.68,114.76,113.15,p3-R1=,-2.04,
2023-12-06,1045,wed,intraday,sell,100,AMD,atLimit,120.64,P3day,sellsigcnt,7,15min,R3R2R1_P_P3_S1S2S3=,120.53,119.82,119.10,117.78,120.13,117.06,115.74,115.02,p3-R1=,1.54,
2023-12-06,1245,wed,intraday,buy,100,AMD,atLimit,119.56,Pday,buysigcnt,8,15min,R3R2R1_P_P3_S1S2S3=,120.53,119.82,119.10,117.78,120.13,117.06,115.74,115.02,p-S1=,2.50,
2023-12-06,1600,wed,intraday,buy,100,AMD,atLimit,117.08,Pday,buysigcnt,11,15min,R3R2R1_P_P3_S1S2S3=,120.53,119.82,119.10,117.78,120.13,117.06,115.74,115.02,p-S1=,0.02,
2023-12-07,1215,thu,intraday,sell,100,AMD,atLimit,125.21,P3day,sellsigcnt,11,15min,R3R2R1_P_P3_S1S2S3=,129.28,125.14,120.99,118.69,118.85,114.54,112.24,108.09,p3-R1=,4.22,
2023-12-07,1545,thu,intraday,sell,100,AMD,atLimit,128.14,P3day,sellsigcnt,12,15min,R3R2R1_P_P3_S1S2S3=,129.28,125.14,120.99,118.69,118.85,114.54,112.24,108.09,p3-R1=,7.15,
2023-12-08,1115,fri,intraday,sell,100,AMD,atLimit,129.90,P3day,sellsigcnt,6,15min,R3R2R1_P_P3_S1S2S3=,137.80,134.64,131.47,125.52,118.25,122.35,116.40,113.23,p3-R1=,-1.57,
2023-12-08,1300,fri,intraday,buy,100,AMD,atLimit,128.09,Pday,buysigcnt,7,15min,R3R2R1_P_P3_S1S2S3=,137.80,134.64,131.47,125.52,118.25,122.35,116.40,113.23,p-S1=,5.73,
2023-12-08,1430,fri,intraday,sell,100,AMD,atLimit,129.11,P3day,sellsigcnt,6,15min,R3R2R1_P_P3_S1S2S3=,137.80,134.64,131.47,125.52,118.25,122.35,116.40,113.23,p3-R1=,-2.36,
2023-12-11,1130,mon,intraday,sell,100,AMD,atLimit,133.62,P3day,sellsigcnt,6,15min,R3R2R1_P_P3_S1S2S3=,135.11,133.06,131.00,128.95,120.66,126.89,124.84,122.78,p3-R1=,2.61,
2023-12-11,1530,mon,intraday,sell,100,AMD,atLimit,134.35,P3day,sellsigcnt,11,15min,R3R2R1_P_P3_S1S2S3=,135.11,133.06,131.00,128.95,120.66,126.89,124.84,122.78,p3-R1=,3.35,
2023-12-12,1215,tue,intraday,sell,100,AMD,atLimit,138.95,P3day,sellsigcnt,8,15min,R3R2R1_P_P3_S1S2S3=,141.83,139.37,136.92,132.58,124.38,130.13,125.79,123.34,p3-R1=,2.04,
2023-12-12,1415,tue,intraday,buy,100,AMD,atLimit,136.69,Pday,buysigcnt,8,15min,R3R2R1_P_P3_S1S2S3=,141.83,139.37,136.92,132.58,124.38,130.13,125.79,123.34,p-S1=,6.57,
2023-12-13,945,wed,intraday,sell,100,AMD,atLimit,137.83,P3day,sellsigcnt,8,15min,R3R2R1_P_P3_S1S2S3=,147.88,144.45,141.03,136.46,129.02,133.04,128.47,125.05,p3-R1=,-3.20,
2023-11-29,1500,wed,intraday,sell,100,AMGN,atLimit,267.76,P3day,sellsigcnt,10,15min,R3R2R1_P_P3_S1S2S3=,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,p3-R1=,268.76,
2023-11-30,1145,thu,intraday,sell,100,AMGN,atLimit,270.01,P3day,sellsigcnt,7,15min,R3R2R1_P_P3_S1S2S3=,270.89,269.46,268.03,266.68,-1.00,265.25,263.90,262.47,p3-R1=,1.98,
