tradeDate,tradeTime,tradeType,tradeSize,symbol,tradeCond,tradePrice,rawtradeId,tradeCnt,tradeAboveBelow,tradePivot,priceDist,pricePct,tradeStrong,tradeLeg,timestamp,tradeRecTimestamp,tradeDateTime,tradeDay,tradeBar,userId,accountId,tradeRAW,tradeRawId,tradeSize1,tradePrFilled,tradeDur,tradeStopMke,tradeLimitExit,optionStrategy,daySRs,wkSRs,moSRs,tradeSpec,tradeSig,tradeGapPct,tradeStatus,tradeAux1,tradeAux2,tradeHash
2024-02-16,1215,SELL,10,SHOP,atLimit,82.27,2381,4,below,R1,-3.24,-3.9342%,0,95|90|65|65,2024-02-17T003134,2024-02-16T205546,2024-02-16T121500,fri,15min,Creator,12345354911,raw69,0,100,0,gfd,49.362,205.675,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|88.50|87.00|85.51|82.55|82.91|81.06|78.10|76.61|,wkR2R1P_87.31_S1S2=|98.98|94.86|83.19|75.64|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,SELL,0,1,2,3,nilHash
2024-02-16,1206,SELL,10,INTC,atLimit,43.7,2329,5,below,R1,-1.18,-2.6950%,0,50|50|35|30,2024-02-17T003134,2024-02-16T204050,2024-02-16T120600,fri,13min,Creator,12345354911,raw17,0,100,0,gfd,26.22,109.25,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|46.52|45.70|44.88|44.45|43.76|43.63|43.20|42.38|,wkR2R1P_43.25_S1S2=|43.86|43.58|42.97|42.64|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,SELL,0,1,2,3,nilHash
2024-02-16,1200,SELL,10,AAPL,atLimit,183.1,2334,4,below,R1,-2.07,-1.1323%,0,215|210|155|145,2024-02-17T003134,2024-02-16T204050,2024-02-16T120000,fri,15min,Creator,12345354911,raw22,0,100,0,gfd,109.86,457.75,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|187.63|186.40|185.18|183.26|185.49|182.04|180.12|178.90|,wkR2R1P_188.57_S1S2=|193.78|191.31|186.10|183.36|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,SELL,0,1,2,3,nilHash
2024-02-16,1130,BUY,10,ADBE,atLimit,565.75,2337,16,below,S1,-18.63,-3.2924%,1,675|650|480|450,2024-02-17T003134,2024-02-16T204050,2024-02-16T113000,fri,15min,Creator,12345354911,raw25,0,100,0,gfd,339.45,1414.38,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|624.87|613.40|601.92|595.85|607.56|584.37|578.30|566.82|,wkR2R1P_622.20_S1S2=|652.12|639.72|609.80|592.28|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1130,BUY,10,SMCI,atLimit,905.33,2373,5,below,S1,-40.3,-4.4510%,1,1085|1040|765|720,2024-02-17T003134,2024-02-16T204050,2024-02-16T113000,fri,15min,Creator,12345354911,raw61,0,100,0,gfd,543.198,2263.32,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|1094.99|1064.63|1034.27|975.99|805.87|945.63|887.35|856.99|,wkR2R1P_691.20_S1S2=|848.42|794.46|637.24|533.98|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1115,BUY,10,AMD,atLimit,174.98,2314,4,above,S1,0.48,0.2724%,0,205|200|145|135,2024-02-17T003134,2024-02-16T204050,2024-02-16T111500,fri,15min,Creator,12345354911,raw2,0,100,0,gfd,104.988,437.45,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|185.74|182.74|179.75|177.50|173.27|174.51|172.26|169.27|,wkR2R1P_172.66_S1S2=|187.17|179.82|165.31|158.15|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1115,BUY,10,NFLX,atLimit,585.11,2345,5,above,S1,0.32,0.0553%,0,700|670|495|465,2024-02-17T003134,2024-02-16T204050,2024-02-16T111500,fri,15min,Creator,12345354911,raw33,0,100,0,gfd,351.066,1462.78,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|607.22|602.73|598.23|589.28|563.43|584.78|575.83|571.33|,wkR2R1P_563.80_S1S2=|585.18|573.23|551.85|542.42|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1115,BUY,10,ROKU,atLimit,74.04,2352,8,below,S1,-17.96,-24.2527%,1,85|85|60|55,2024-02-17T003134,2024-02-16T204050,2024-02-16T111500,fri,15min,Creator,12345354911,raw40,0,100,0,gfd,44.424,185.1,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|99.27|97.68|96.10|93.58|93.14|92.00|89.48|87.90|,wkR2R1P_93.70_S1S2=|105.49|100.64|88.85|81.91|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1115,buyToOpen_CALL_,4,ROKU,atLimit,74.04,2352,70,STRIKE,S1,-17.96,-24.2527%,1,85|85|60|55,2024-02-17T003134,2024-02-16T204050,2024-02-16T111500,fri,15min,Creator,12345354911,raw40,0,100,0,gfd,44.424,185.1,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|99.27|97.68|96.10|93.58|93.14|92.00|89.48|87.90|,wkR2R1P_93.70_S1S2=|105.49|100.64|88.85|81.91|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1115,BUY,10,TSLA,atLimit,200.05,2361,4,above,S1,7.45,3.7223%,0,240|230|170|160,2024-02-17T003134,2024-02-16T204050,2024-02-16T111500,fri,15min,Creator,12345354911,raw49,0,100,0,gfd,120.03,500.125,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|212.90|208.76|204.63|196.74|187.15|192.61|184.72|180.59|,wkR2R1P_187.57_S1S2=|206.68|200.12|181.01|168.46|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
