2023-12-06,1500,intraday,buy,100,TSLA,atLimit,242.16,buysigcnt,7,
2023-12-07,1045,intraday,buy,100,TSLA,atLimit,238.65,buysigcnt,7,
2023-11-29,1300,11/29/2023,intraday,buy,100,AAPL,atLimit,189.85,buysigcnt,8,
2023-11-29,1530,11/29/2023,intraday,buy,100,AAPL,atLimit,189.25,buysigcnt,9,
2023-11-30,1230,11/30/2023,intraday,buy,100,AAPL,atLimit,188.41,buysigcnt,9,
2023-11-30,1545,11/30/2023,intraday,sell,100,AAPL,atLimit,189.00,sellsigcnt,7,
2023-12-01,1330,12/01/2023,intraday,sell,100,AAPL,atLimit,191.38,sellsigcnt,16,
2023-12-04,1200,12/04/2023,intraday,buy,100,AAPL,atLimit,187.86,buysigcnt,8,
2023-12-04,1530,12/04/2023,intraday,sell,100,AAPL,atLimit,188.94,sellsigcnt,14,
2023-12-05,1145,12/05/2023,intraday,sell,100,AAPL,atLimit,193.99,sellsigcnt,10,
2023-12-05,1445,12/05/2023,intraday,buy,100,AAPL,atLimit,193.02,buysigcnt,6,
2023-12-07,1000,12/07/2023,intraday,buy,100,AAPL,atLimit,192.41,buysigcnt,7,
2023-12-07,1130,12/07/2023,intraday,sell,100,AAPL,atLimit,194.75,sellsigcnt,6,
2023-12-07,1445,12/07/2023,intraday,buy,100,AAPL,atLimit,194.34,buysigcnt,6,
2023-12-08,1530,12/08/2023,intraday,sell,100,AAPL,atLimit,195.74,sellsigcnt,11,
2023-12-11,1215,12/11/2023,intraday,buy,100,AAPL,atLimit,191.75,buysigcnt,9,
2023-12-12,1000,12/12/2023,intraday,sell,100,AAPL,atLimit,193.02,sellsigcnt,17,
2023-12-12,1230,12/12/2023,intraday,sell,100,AAPL,atLimit,193.34,sellsigcnt,8,
2023-12-12,1600,12/12/2023,intraday,sell,100,AAPL,atLimit,194.34,sellsigcnt,13,
2023-11-30,945,11/30/2023,intraday,buy,100,TSLA,atLimit,243.80,buysigcnt,7,
2023-11-30,1245,11/30/2023,intraday,buy,100,TSLA,atLimit,240.10,buysigcnt,7,
2023-12-01,1115,12/01/2023,intraday,buy,100,TSLA,atLimit,234.18,buysigcnt,9,
2023-12-01,1330,12/01/2023,intraday,sell,100,TSLA,atLimit,239.34,sellsigcnt,9,
2023-12-04,1000,12/04/2023,intraday,sell,100,TSLA,atLimit,238.48,sellsigcnt,7,
2023-12-04,1345,12/04/2023,intraday,sell,100,TSLA,atLimit,237.64,sellsigcnt,8,
2023-12-05,1145,12/05/2023,intraday,sell,100,TSLA,atLimit,244.96,sellsigcnt,7,
2023-12-05,1445,12/05/2023,intraday,buy,100,TSLA,atLimit,238.82,buysigcnt,12,
2023-12-06,1500,12/06/2023,intraday,buy,100,TSLA,atLimit,242.16,buysigcnt,7,
2023-12-07,1045,12/07/2023,intraday,buy,100,TSLA,atLimit,238.65,buysigcnt,7,
2023-12-07,1230,12/07/2023,intraday,sell,100,TSLA,atLimit,242.45,sellsigcnt,7,
2023-12-07,1400,12/07/2023,intraday,buy,100,TSLA,atLimit,240.39,buysigcnt,6,
2023-12-08,1200,12/08/2023,intraday,sell,100,TSLA,atLimit,244.13,sellsigcnt,12,
2023-12-08,1515,12/08/2023,intraday,sell,100,TSLA,atLimit,244.08,sellsigcnt,8,
2023-12-12,1515,12/12/2023,intraday,sell,100,TSLA,atLimit,236.63,sellsigcnt,8,
2023-11-30,945,11/30/2023,intraday,buy,100,TSLA,atLimit,243.80,buysigcnt,7,
